	samples = 8285184
	channels = 2
	totalsamples = 16570368
	samples per point = 1024
	meterScale = 300
	tolerance = 1.5
	SongLength = 172.608
	BPM detected = 69.8693

UpBeats:(201)

	index     timeInSong          startsample         endsample           energy              
	--------- ------------------- ------------------- ------------------- ------------------- 
		13963     148.9387            14298112            14299135            18.72388            
		14005     149.3867            14341120            14342143            13.07225            
		14132     150.7413            14471168            14472191            13.37408            
		14175     151.2               14515200            14516223            16.04193            
		14306     152.5973            14649344            14650367            15.4323             
		14350     153.0667            14694400            14695423            16.80526            
		14393     153.5253            14738432            14739455            13.70516            
		14519     154.8693            14867456            14868479            13.41691            
		14650     156.2667            15001600            15002623            15.92821            
		14782     157.6747            15136768            15137791            16.15116            
		14825     158.1333            15180800            15181823            17.00602            
		14868     158.592             15224832            15225855            15.46998            
		14950     159.4667            15308800            15309823            12.59594            
		15037     160.3947            15397888            15398911            12.70162            
		15081     160.864             15442944            15443967            12.93409            
		15125     161.3333            15488000            15489023            15.63994            
		15167     161.7813            15531008            15532031            15.79199            
		15200     162.1333            15564800            15565823            4.078983            
		15272     162.9013            15638528            15639551            3.705034            
		15328     163.4987            15695872            15696895            3.071558            

Beats:(405)
